type,category,unit_class,hp,attack,sec_attack,charge,def_skill,armour,shield,missile_range,missile_ammo,recruit_cost,upkeep_cost,attributes,formations,weapon_type,weapon_attr,hp_extra,sec_charge,sec_weapon_type,sec_weapon_attr,sec_armour,sec_def_skill,heat,scrub_mdf,sand_mdf,forest_mdf,snow_mdf,morale,discipline,training,charge_distance,recruit_turns,weapon_upgrade_cost,armour_upgrade_cost,custom_battle_cost,aor,ownership,region,dictionary,name,short_desc,long_desc,building,recruitment_building,hidden_resources,hidden_resources_not,event,faction,different_rows
numidian slingers,infantry,missile,1,6,4,1,7,2,0,140,32,1340,490,"sea_faring, can_swim, hide_forest, very_hardy",,missile,no,6,1,melee,no,0,0,-2,0,2,-2,-4,7,low,untrained,30,2,1,48,509,False,"masaesyli, massylii, slave",,numidian_slingers,Numidian Slingers,"Slingers were highly skilled missile troops but were at a huge disadvantage in hand-to-hand combat, especially against cavalry.","Numidian Slingers were highly skilled missile troops but were at a huge disadvantage in hand-to-hand combat, especially against cavalry. They could maintain a sustained and concentrated barrage on enemies and then fall back rapidly to avoid hand-to-hand combat. Slingers carried a shoulder bag with many pieces of stone shot (they could also use stones picked up on the battlefield) and several spare slings including slings of different length for greater or lesser range.

Other than a knife they carried no other equipment.",missiles_1,1,,,,"masaesyli, massylii",1.0
aor numidian slingers,infantry,missile,1,6,4,1,7,2,0,140,32,1340,490,"sea_faring, can_swim, hide_forest, no_custom, mercenary_unit, very_hardy",,missile,no,6,1,melee,no,0,0,-2,0,2,-2,-4,7,low,untrained,30,2,1,48,509,True,all,,numidian_slingers,Numidian Slingers,"Slingers were highly skilled missile troops but were at a huge disadvantage in hand-to-hand combat, especially against cavalry.","Numidian Slingers were highly skilled missile troops but were at a huge disadvantage in hand-to-hand combat, especially against cavalry. They could maintain a sustained and concentrated barrage on enemies and then fall back rapidly to avoid hand-to-hand combat. Slingers carried a shoulder bag with many pieces of stone shot (they could also use stones picked up on the battlefield) and several spare slings including slings of different length for greater or lesser range.

Other than a knife they carried no other equipment.",missiles_1,1,,,,"acarnania, achaea, acragas, aedui, aetolia, allobroges, anatolians, antigonid, ardiaei, arevaci, argos, armenia, arverni, asti, athens, atropatene, bactria, belgae, bessi, bithynia, boeotia, boii, bosporan, byzantium, cappadocia, carthage, chatti, chersonesus, chios, chrysaoria, cilicians, cimbri, cius, cyrene, cyzicus, dentheletae, edetani, egypt, elis, emporion, epirus, galatians, getae, gortyn, greeks, histria, insubres, issa, kabyle, knossos, kush, kydonia, lugii, lusitani, lycia, lysiad, lyttos, maedi, massalia, mauryan, megalopolis, messene, miletus, nabataea, odrysians, olbia, paionia, paphlagonia, parni, pentapolis, pergamon, pontus, priene, ptolemaic, rhodes, roman, saba, saka, scordisci, seleucid, selge, sinope, siraces, sparta, suebi, syracuse, taras, thessaly, thracians, trapezus, triballi, trinovantes, tylis, volcae",1.0
numidian archers,infantry,missile,1,6,4,2,7,1,0,130,25,1200,439,"sea_faring, can_swim, hide_forest, very_hardy",,missile,no,6,2,melee,no,0,0,-2,0,2,-2,-4,6,low,untrained,30,2,1,53,456,False,"carthage, masaesyli, massylii, slave",Kirtan,numidian_archers,Numidian Archers,"Armed with the recurve bow, Numidian Archers could inflict fearsome casualties.","Armed with the powerful recurve bow the Numidian Archers were rightly feared for the casualties they could inflict but, being lightly armed they were vulnerable in hand-to-hand combat.

They were drawn from the peasant classes of all societies, as these were the people who needed to be skilled hunters in order to survive. Learning to use a bow well was something that took a lifetime and constant practice, and putting food on the table provided good practice.

They were most effective when used to weaken enemy formations, or placed in a spot where they could retreat and find protection from other troops.",missiles_2,2,,,,"carthage, masaesyli, massylii",1.0
aor numidian archers,infantry,missile,1,6,4,2,7,1,0,130,25,1200,439,"sea_faring, can_swim, hide_forest, no_custom, mercenary_unit, very_hardy",,missile,no,6,2,melee,no,0,0,-2,0,2,-2,-4,6,low,untrained,30,2,1,53,456,True,"acarnania, achaea, acragas, aedui, aetolia, allobroges, anatolians, antigonid, ardiaei, arevaci, argos, armenia, arverni, asti, athens, atropatene, bactria, belgae, bessi, bithynia, boeotia, boii, bosporan, byzantium, cappadocia, carthage, chatti, chersonesus, chios, chrysaoria, cilicians, cimbri, cius, cyrene, cyzicus, dentheletae, edetani, egypt, elis, emporion, epirus, galatians, getae, gortyn, greeks, hellenistic_rebels, heraclea_pontica, histria, indo_greeks, insubres, issa, kabyle, knossos, kush, kydonia, lugii, lusitani, lycia, lysiad, lyttos, maedi, masaesyli, massalia, massylii, mauryan, megalopolis, messene, miletus, nabataea, odrysians, olbia, paionia, paphlagonia, parni, pentapolis, pergamon, pontus, priene, ptolemaic, ptolemaic_rebels, rhodes, romans_julii, saba, saka, scordisci, seleucid, seleucid_rebels, seleucid_rebels2, selge, sinope, siraces, slave, sparta, suebi, syracuse, taras, thessaly, thracians, trapezus, triballi, trinovantes, tylis, volcae",Kirtan,numidian_archers,Numidian Archers,"Armed with the recurve bow, Numidian Archers could inflict fearsome casualties.","Armed with the powerful recurve bow the Numidian Archers were rightly feared for the casualties they could inflict but, being lightly armed they were vulnerable in hand-to-hand combat.

They were drawn from the peasant classes of all societies, as these were the people who needed to be skilled hunters in order to survive. Learning to use a bow well was something that took a lifetime and constant practice, and putting food on the table provided good practice.

They were most effective when used to weaken enemy formations, or placed in a spot where they could retreat and find protection from other troops.",missiles_1,1,,,,"acarnania, achaea, acragas, aedui, aetolia, allobroges, anatolians, antigonid, ardiaei, arevaci, argos, armenia, arverni, asti, athens, atropatene, bactria, belgae, bessi, bithynia, boeotia, boii, bosporan, byzantium, cappadocia, carthage, chatti, chersonesus, chios, chrysaoria, cilicians, cimbri, cius, cyrene, cyzicus, dentheletae, edetani, egypt, elis, emporion, epirus, galatians, getae, gortyn, greeks, histria, insubres, issa, kabyle, knossos, kush, kydonia, lugii, lusitani, lycia, lysiad, lyttos, maedi, massalia, mauryan, megalopolis, messene, miletus, nabataea, odrysians, olbia, paionia, paphlagonia, parni, pentapolis, pergamon, pontus, priene, ptolemaic, rhodes, roman, saba, saka, scordisci, seleucid, selge, sinope, siraces, sparta, suebi, syracuse, taras, thessaly, thracians, trapezus, triballi, trinovantes, tylis, volcae",1.0
merc numidian archers,infantry,missile,1,6,4,2,7,1,0,130,25,1800,439,"sea_faring, can_swim, hide_forest, mercenary_unit, very_hardy",,missile,no,6,2,melee,no,0,0,-2,0,2,-2,-4,6,low,untrained,30,2,1,53,456,False,slave,Kirtan,merc_numidian_archers,Mercenary Numidian Archers,"Armed with the recurve bow, Numidian Archers could inflict fearsome casualties.","Armed with the powerful recurve bow the Numidian Archers were rightly feared for the casualties they could inflict but, being lightly armed they were vulnerable in hand-to-hand combat.

They were drawn from the peasant classes of all societies, as these were the people who needed to be skilled hunters in order to survive. Learning to use a bow well was something that took a lifetime and constant practice, and putting food on the table provided good practice.

They were most effective when used to weaken enemy formations, or placed in a spot where they could retreat and find protection from other troops.",,,,,,,
numidian javelinmen,infantry,missile,1,11,6,3,11,1,2,60,7,1371,502,"sea_faring, can_swim, hide_forest, very_hardy",,thrown,thrown,6,3,melee,no,0,0,-2,0,2,-2,-4,10,low,untrained,30,2,1,67,521,False,"masaesyli, massylii, slave",,numidian_javelinmen,Numidian Javelinmen,Numidian javelinmen are fast moving skirmishers trained from infancy in the use of the javelin.,"Numidian javelinmen are fast moving skirmishers trained from infancy in the use of the javelin for hunting. They are recruited from amongst nomadic peoples who need their weapon skills to survive in harsh conditions.

They are best employed to harry enemies and thin their ranks with volleys of missiles. They should avoid being sucked into hand-to-hand combat, as their knives are more useful in skinning animals than killing men; also, other than a small shield they have no armour.

Historically, Numidian justice was extremely harsh on deserters and cowards: crucifixion was a common punishment.",barracks_1,1,,,,"masaesyli, massylii",1.0
aor numidian javelinmen,infantry,missile,1,11,6,3,11,1,2,60,7,1371,502,"sea_faring, can_swim, hide_forest, no_custom, mercenary_unit, very_hardy",,thrown,thrown,6,3,melee,no,0,0,-2,0,2,-2,-4,10,low,untrained,30,2,1,67,521,True,all,,numidian_javelinmen,Numidian Javelinmen,Numidian javelinmen are fast moving skirmishers trained from infancy in the use of the javelin.,"Numidian javelinmen are fast moving skirmishers trained from infancy in the use of the javelin for hunting. They are recruited from amongst nomadic peoples who need their weapon skills to survive in harsh conditions.

They are best employed to harry enemies and thin their ranks with volleys of missiles. They should avoid being sucked into hand-to-hand combat, as their knives are more useful in skinning animals than killing men; also, other than a small shield they have no armour.

Historically, Numidian justice was extremely harsh on deserters and cowards: crucifixion was a common punishment.",missiles_1,1,,,,"acarnania, achaea, acragas, aedui, aetolia, allobroges, anatolians, antigonid, ardiaei, arevaci, argos, armenia, arverni, asti, athens, atropatene, bactria, belgae, bessi, bithynia, boeotia, boii, bosporan, byzantium, cappadocia, carthage, chatti, chersonesus, chios, chrysaoria, cilicians, cimbri, cius, cyrene, cyzicus, dentheletae, edetani, egypt, elis, emporion, epirus, galatians, getae, gortyn, greeks, histria, insubres, issa, kabyle, knossos, kush, kydonia, lugii, lusitani, lycia, lysiad, lyttos, maedi, massalia, mauryan, megalopolis, messene, miletus, nabataea, odrysians, olbia, paionia, paphlagonia, parni, pentapolis, pergamon, pontus, priene, ptolemaic, rhodes, roman, saba, saka, scordisci, seleucid, selge, sinope, siraces, sparta, suebi, syracuse, taras, thessaly, thracians, trapezus, triballi, trinovantes, tylis, volcae",1.0
merc numidian javelinmen,infantry,missile,1,11,6,3,11,1,2,60,7,2056,502,"sea_faring, can_swim, hide_forest, mercenary_unit, very_hardy",,thrown,thrown,6,3,melee,no,0,0,-2,0,2,-2,-4,10,low,untrained,30,2,1,67,521,False,"carthage, slave",,merc_numidian_javelinmen,Mercenary Numidian Javelinmen,Numidian javelinmen are fast moving skirmishers trained from infancy in the use of the javelin.,"Numidian javelinmen are fast moving skirmishers trained from infancy in the use of the javelin for hunting. They are recruited from amongst nomadic peoples who need their weapon skills to survive in harsh conditions.

They are best employed to harry enemies and thin their ranks with volleys of missiles. They should avoid being sucked into hand-to-hand combat, as their knives are more useful in skinning animals than killing men; also, other than a small shield they have no armour.

Historically, Numidian justice was extremely harsh on deserters and cowards: crucifixion was a common punishment.",,,,,,,
numidian light infantry,infantry,spearmen,1,10,12,8,21,1,8,50,6,1540,564,"sea_faring, hide_forest, can_sap, hardy",,thrown,"prec, thrown",6,10,melee,"light_spear, spear_bonus_6",0,0,-1,0,2,-2,-4,13,impetuous,untrained,30,2,1,80,585,False,"masaesyli, massylii, slave",,numidian_light_infantry,Numidian Light Infantry,Numidian warriors are fast moving infantry trained from infancy in the use of the spear.,"The Numidian warband is made up of fast moving foot soldiers who are trained from infancy in the use of the spear for hunting. They are recruited from amongst nomadic peoples who need their weapon skills to survive in harsh conditions.

They are best employed to harry enemies and thin their ranks with volleys of missiles. They should avoid being sucked into hand-to-hand combat, as their knives are more useful in skinning animals than killing men; also, other than a small shield they have no armour.

Historically, Numidian justice was extremely harsh on deserters and cowards: crucifixion was a common punishment.",barracks_2,2,,,,"masaesyli, massylii",1.0
aor numidian light infantry,infantry,spearmen,1,10,12,8,21,1,8,50,6,1540,564,"sea_faring, hide_forest, can_sap, no_custom, mercenary_unit, hardy",,thrown,"prec, thrown",6,10,melee,"light_spear, spear_bonus_6",0,0,-1,0,2,-2,-4,13,impetuous,untrained,30,2,1,80,585,True,all,,numidian_light_infantry,Numidian Light Infantry,Numidian warriors are fast moving infantry trained from infancy in the use of the spear.,"The Numidian warband is made up of fast moving foot soldiers who are trained from infancy in the use of the spear for hunting. They are recruited from amongst nomadic peoples who need their weapon skills to survive in harsh conditions.

They are best employed to harry enemies and thin their ranks with volleys of missiles. They should avoid being sucked into hand-to-hand combat, as their knives are more useful in skinning animals than killing men; also, other than a small shield they have no armour.

Historically, Numidian justice was extremely harsh on deserters and cowards: crucifixion was a common punishment.",barracks_2,2,,,,"acarnania, achaea, acragas, aedui, aetolia, allobroges, anatolians, antigonid, ardiaei, arevaci, argos, armenia, arverni, asti, athens, atropatene, bactria, belgae, bessi, bithynia, boeotia, boii, bosporan, byzantium, cappadocia, carthage, chatti, chersonesus, chios, chrysaoria, cilicians, cimbri, cius, cyrene, cyzicus, dentheletae, edetani, egypt, elis, emporion, epirus, galatians, getae, gortyn, greeks, histria, insubres, issa, kabyle, knossos, kush, kydonia, lugii, lusitani, lycia, lysiad, lyttos, maedi, massalia, mauryan, megalopolis, messene, miletus, nabataea, odrysians, olbia, paionia, paphlagonia, parni, pentapolis, pergamon, pontus, priene, ptolemaic, rhodes, roman, saba, saka, scordisci, seleucid, selge, sinope, siraces, sparta, suebi, syracuse, taras, thessaly, thracians, trapezus, triballi, trinovantes, tylis, volcae",1.0
numidian infantry,infantry,light,1,14,13,9,18,6,8,50,2,1797,658,"sea_faring, hide_forest, can_sap, very_hardy",,thrown,prec,6,10,melee,no,0,0,-1,0,2,-2,-4,15,normal,trained,30,2,1,65,683,False,"masaesyli, massylii, slave",,numidian_infantry,Numidian Infantry,"The Numidian Infantry were armed with javelins, sword and shield, and were trained to fight after the Roman fashion.","This Numidian Infantry is equipped with an oval thureos shield with spine and winged metal boss, two javelins, sword and helmet, which was of the typical Punic design with a thick rim.

The Numidian Infantry fought as close-fighting troops, in a maniple-type formation, with standards.

The ""Numidians"" were those peoples of Libyco-Berber stock who inhabited North Africa. Unlike those known as ""Libyans"", the Numidians and Moors practised a nomadic form of pastoralism rather than a more settled form of agriculture. They were not a single nation, but were divided into many tribes such as the Maccoei, and Areacidae, and even several larger supra-tribal kingdoms, such as Masaesyli in the west and the Massyli in the east, adjacent to Carthage's own territory.

The Moorish tribes of the far west formed a single nation under King Baga. The Gaetulians lived to the south of the Numidians and Moors (Pliny, Nat. Hist., 5.17), and fought in an identical fashion (Livy, 23.18; Caes., B Afr 32, 56, 61); so too the Garamantes and Nasamones who were two other important Libyco-Berber tribes found in North Africa.

During the period of Carthaginian supremacy in North Africa, the Numidian kings were never able to come up with decent infantry, although they did succeed in making some improvement under King Syphax. During the Second Punic War, King Syphax asked visiting Roman envoys to provide him with a centurion to train his Numidian infantry, saying his army was quite shapeless and haphazard, a mere casual mob. This centurion, Quintus Statorius, went to work: ""Statorius found ample material from which to enrol infantry soldiers for Syphax; he organised them very much after the Roman pattern, gave them instruction in forming up, maneuvering, following the standards, and keeping formation, and accustomed them to various military duties, including fortifications, and all so successfully that the prince soon came to trust his infantry no less than his cavalry, and that when an engagement took place on open ground he defeated his Carthaginian foe.""

These Numidian Infantry thereafter fought for Syphax against Carthage and their Massyli allies until they were finally defeated between 213-210 BC. Some vestige of the training of Statorius must have stuck, however, because the Numidian infantry are never again referred to as a ""formless mass"". The Numidian allies of Rome and Carthage in the later part of the Second Punic War are recorded as fielding significant infantry forces.

In fact, these formations do seem to echo the Roman maniples and although this can only be conjecture, the infantry fight in a mix of Roman and Numidian techniques as a sort of light infantry. Showing an ability to maintain unit cohesion and rally to standards like the Roman troops.",barracks_3,3,,,,"masaesyli, massylii",1.0
numidian cavalry,cavalry,missile,1,9,8,20,10,1,4,60,7,1128,454,"sea_faring, hide_forest, cantabrian_circle, very_hardy",,thrown,thrown,8,26,melee,no,0,0,-2,-1,1,-7,-5,9,normal,trained,40,2,0,40,429,False,"carthage, masaesyli, massylii, slave",,numidian_cavalry,Numidian Cavalry,"Numidian Cavalry, armed with javelins and sword, and riding lean wiry ponies, were possibly the most renowned skirmish cavalry of the ancient world.","The Numidian Cavalry were lightly armed and unprepossessing in appearance. They wore no armour, but only light, baggy, sleeveless tunics of undyed wool. They carried small, light, boss-less and rimless leather shields, and rode into battle with a bundle of javelins with iron heads, which enabled them to skirmish like mounted peltasts.

They also carried short swords, 2 feet long, as secondary weapons for close fighting. Livy reports that the Numidians who fought at Cannae carried concealed swords (Livy, 22.48.2).

Numidian Cavalry were skirmishers, harassing the enemy with a rain of javelins, outflanking and surrounding them, but scattering to avoid enemy charges. They would retire swiftly from an enemy charge, but return quickly to the attack. This method of skirmishing combat was used regardless of whether the enemy was on foot or mounted.

Numidian Cavalry were the finest and most feared skirmisher cavalry in the western Mediterranean, famed for their endurance (Polybius, 3.71.10; App. Pun. 11, 71) and their persistent, deadly harassing tactics.

The 'Numidians' were those peoples of Libyco-Berber stock who inhabited North Africa. Unlike those known as 'Libyans', the Numidians and Moors practised a nomadic form of pastoralism rather than a more settled form of agriculture. The Numidian Cavalry had a reputation for being hot-tempered and violent (Livy, 25.41.4, 28.44.5, 29.23.4, 30.12.18).

Numidian Cavalry were expert ambushers, able to hide in undergrowth or folds in the landscape, and make sudden attacks upon unsuspecting enemies. ""The Numidians had stationed themselves and their horses among the thickets and although they were not completely hidden by the low trees, it was difficult to distinguish just what was there since the men and their standards were concealed both by their surroundings and by camouflage"" (Sallust, The Jugurthine War. 49).

""Whenever a squadron of Roman cavalry began to charge, instead of retiring in a body in one direction, they (the Numidian Cavalry) retreated independently, scattering as widely as possible. In this way they could take advantage of their numerical superiority. If they failed to check their enemies' charge, they would wait until the Romans lost their formation and then cut them off"" (Sallust, The Jugurthine War. 51).

Even in formal battles as auxiliaries for Carthage or Rome, the Numidian Cavalry retained this loose manner of fighting; any charge would not be resisted, but rather the flanks and rear of the enemy would be savaged as the attack ran out of steam. The aim was to cut off the victim and force him to stand or run. Numidian Cavalry are particularly deadly and effective when pursuing a broken and flying foe.

Polybius gives an excellent account of this style of fighting in his account of the battle of Cannae. ""The Numidian horse on the Carthaginian right were meanwhile charging through the cavalry on the Roman left; and though, from the peculiar nature of their mode of fighting, they neither inflicted nor received much harm, they yet rendered the enemy's horse useless by keeping them occupied, and charging them first on one side and then another. But when Hasdrubal, after all but annihilating the cavalry by the river, came from the left to the support of the Numidians, the Roman allied cavalry, seeing his charge approaching, broke and fled. At that point Hasdrubal appears to have acted with great skill and discretion. Seeing the Numidians to be strong in numbers, and more effective and formidable to troops that had once been forced from their ground, he left the pursuit to them; while he himself hastened to the part of the field where the infantry were engaged, and brought his men up to support the Libyans."" (Polybius Book 3, 116.5)

The Numidian Cavalry were not the fastest of cavalry, but their small horses were small, lean, hardy ponies that were agile and very manoeuvrable (Livy, 35.11.6-11; Strabo, 17.3.7), and could also scramble through or over terrain that brought other mounted units to a halt. ""Numidians found it more convenient to retreat to the hill rather than the plain, their horses being used to the ground, made their way easily through the thickets"" (Sallust, The Jugurthine War. 51). The Numidian Cavalry rode bareback, without bit or bridles or saddles, instead relying on their knees plus a riding crop/stick to control their mounts.

The Numidians were not a single nation, but were divided into many tribes such as the Maccoei, and Areacidae, and even several larger supra-tribal kingdoms, such as Masaesyli in the west and the Massyli in the east, adjacent to Carthage's own territory.

The Moorish tribes of the far west formed a single nation under King Baga. The Gaetulians lived to the south of the Numidians and Moors (Pliny, Nat. Hist., 5.17), and fought in an identical fashion (Livy, 23.18; Caes., B Afr 32, 56, 61); so too the Garamantes and Nasamones, other important Libyco-Berber tribes found in North Africa.

Numidian Cavalry were found as both allies and mercenaries in the armies of Carthage, usually serving under their own princes, famous examples being Navaras (Polybius, 1.78.1-11), Tychaeus (Polybius, 15.3.5) and above all Masinissa.",equestrian_2,2,,,,"carthage, masaesyli, massylii",1.0
aor numidian cavalry,cavalry,missile,1,9,8,20,10,1,4,60,7,1128,454,"sea_faring, hide_forest, cantabrian_circle, no_custom, mercenary_unit, very_hardy",,thrown,thrown,8,26,melee,no,0,0,-2,-1,1,-7,-5,9,normal,trained,40,2,0,40,429,True,all,,numidian_cavalry,Numidian Cavalry,"Numidian Cavalry, armed with javelins and sword, and riding lean wiry ponies, were possibly the most renowned skirmish cavalry of the ancient world.","The Numidian Cavalry were lightly armed and unprepossessing in appearance. They wore no armour, but only light, baggy, sleeveless tunics of undyed wool. They carried small, light, boss-less and rimless leather shields, and rode into battle with a bundle of javelins with iron heads, which enabled them to skirmish like mounted peltasts.

They also carried short swords, 2 feet long, as secondary weapons for close fighting. Livy reports that the Numidians who fought at Cannae carried concealed swords (Livy, 22.48.2).

Numidian Cavalry were skirmishers, harassing the enemy with a rain of javelins, outflanking and surrounding them, but scattering to avoid enemy charges. They would retire swiftly from an enemy charge, but return quickly to the attack. This method of skirmishing combat was used regardless of whether the enemy was on foot or mounted.

Numidian Cavalry were the finest and most feared skirmisher cavalry in the western Mediterranean, famed for their endurance (Polybius, 3.71.10; App. Pun. 11, 71) and their persistent, deadly harassing tactics.

The 'Numidians' were those peoples of Libyco-Berber stock who inhabited North Africa. Unlike those known as 'Libyans', the Numidians and Moors practised a nomadic form of pastoralism rather than a more settled form of agriculture. The Numidian Cavalry had a reputation for being hot-tempered and violent (Livy, 25.41.4, 28.44.5, 29.23.4, 30.12.18).

Numidian Cavalry were expert ambushers, able to hide in undergrowth or folds in the landscape, and make sudden attacks upon unsuspecting enemies. ""The Numidians had stationed themselves and their horses among the thickets and although they were not completely hidden by the low trees, it was difficult to distinguish just what was there since the men and their standards were concealed both by their surroundings and by camouflage"" (Sallust, The Jugurthine War. 49).

""Whenever a squadron of Roman cavalry began to charge, instead of retiring in a body in one direction, they (the Numidian Cavalry) retreated independently, scattering as widely as possible. In this way they could take advantage of their numerical superiority. If they failed to check their enemies' charge, they would wait until the Romans lost their formation and then cut them off"" (Sallust, The Jugurthine War. 51).

Even in formal battles as auxiliaries for Carthage or Rome, the Numidian Cavalry retained this loose manner of fighting; any charge would not be resisted, but rather the flanks and rear of the enemy would be savaged as the attack ran out of steam. The aim was to cut off the victim and force him to stand or run. Numidian Cavalry are particularly deadly and effective when pursuing a broken and flying foe.

Polybius gives an excellent account of this style of fighting in his account of the battle of Cannae. ""The Numidian horse on the Carthaginian right were meanwhile charging through the cavalry on the Roman left; and though, from the peculiar nature of their mode of fighting, they neither inflicted nor received much harm, they yet rendered the enemy's horse useless by keeping them occupied, and charging them first on one side and then another. But when Hasdrubal, after all but annihilating the cavalry by the river, came from the left to the support of the Numidians, the Roman allied cavalry, seeing his charge approaching, broke and fled. At that point Hasdrubal appears to have acted with great skill and discretion. Seeing the Numidians to be strong in numbers, and more effective and formidable to troops that had once been forced from their ground, he left the pursuit to them; while he himself hastened to the part of the field where the infantry were engaged, and brought his men up to support the Libyans."" (Polybius Book 3, 116.5)

The Numidian Cavalry were not the fastest of cavalry, but their small horses were small, lean, hardy ponies that were agile and very manoeuvrable (Livy, 35.11.6-11; Strabo, 17.3.7), and could also scramble through or over terrain that brought other mounted units to a halt. ""Numidians found it more convenient to retreat to the hill rather than the plain, their horses being used to the ground, made their way easily through the thickets"" (Sallust, The Jugurthine War. 51). The Numidian Cavalry rode bareback, without bit or bridles or saddles, instead relying on their knees plus a riding crop/stick to control their mounts.

The Numidians were not a single nation, but were divided into many tribes such as the Maccoei, and Areacidae, and even several larger supra-tribal kingdoms, such as Masaesyli in the west and the Massyli in the east, adjacent to Carthage's own territory.

The Moorish tribes of the far west formed a single nation under King Baga. The Gaetulians lived to the south of the Numidians and Moors (Pliny, Nat. Hist., 5.17), and fought in an identical fashion (Livy, 23.18; Caes., B Afr 32, 56, 61); so too the Garamantes and Nasamones, other important Libyco-Berber tribes found in North Africa.

Numidian Cavalry were found as both allies and mercenaries in the armies of Carthage, usually serving under their own princes, famous examples being Navaras (Polybius, 1.78.1-11), Tychaeus (Polybius, 15.3.5) and above all Masinissa.",equestrian_3,3,,,,"acarnania, achaea, acragas, aedui, aetolia, allobroges, anatolians, antigonid, ardiaei, arevaci, argos, armenia, arverni, asti, athens, atropatene, bactria, belgae, bessi, bithynia, boeotia, boii, bosporan, byzantium, cappadocia, carthage, chatti, chersonesus, chios, chrysaoria, cilicians, cimbri, cius, cyrene, cyzicus, dentheletae, edetani, egypt, elis, emporion, epirus, galatians, getae, gortyn, greeks, histria, insubres, issa, kabyle, knossos, kush, kydonia, lugii, lusitani, lycia, lysiad, lyttos, maedi, massalia, mauryan, megalopolis, messene, miletus, nabataea, odrysians, olbia, paionia, paphlagonia, parni, pentapolis, pergamon, pontus, priene, ptolemaic, rhodes, roman, saba, saka, scordisci, seleucid, selge, sinope, siraces, sparta, suebi, syracuse, taras, thessaly, thracians, trapezus, triballi, trinovantes, tylis, volcae",1.0
